ID_INMUEBLE,ID _ESTADO,ESTADO,NOMBRE_VIALIDAD,TIPO_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE
148,13,Hidalgo,Eucalipto esquina con Sauz,Calle,sin número,sin número,Barrio,0001,Ixmiquilpan,30,Ixmiquilpan,42302,Urbana
149,13,Hidalgo,Insurgentes,Calle,sin número,sin número,Barrio,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
150,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Unidad habitacional,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
151,13,Hidalgo,Avenida Insurgentes y Héroes de Chapultepec,Calle,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42325,Urbana
152,13,Hidalgo,Ixmiquilpan - Capula ,Carretera,Kilómetro 4,sin número,Colonia,0001,El Nith,30,Ixmiquilpan,42325,Rústica
153,13,Hidalgo,Ignacio Allende entre avenida Insurgentes y Franc,Calle,5,sin número,Barrio,0032,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
154,13,Hidalgo,Villahermosa y Platino,Calle,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42301,Urbana
155,13,Hidalgo,Corregidora y Héroes de Chapultepec,Carretera,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
156,13,Hidalgo,Lorenzo de Zavala,Calle,sin número,sin número,Barrio,0001,Ixmiquilpan,30,Ixmiquilpan,42303,Rústica
157,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Ranchería,0001,El Tephé,30,Ixmiquilpan,42323,Urbana
158,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Pueblo,0048,El Tephé,30,Ixmiquilpan,42323,Urbana
159,13,Hidalgo,Ciruelos y Adolfo López Mateos,Calle,sin número,sin número,Unidad habitacional,0048,Ixmiquilpan,30,Ixmiquilpan,42302,Urbana
160,13,Hidalgo,Felipe Ángeles,Avenida,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
161,13,Hidalgo,Entre Capula y Bangathó,Calle,sin número,sin número,Pueblo,0001,Capula,30,Ixmiquilpan,42325,Rústica
162,13,Hidalgo,Allende,Calle,sin número,sin número,Colonia,0008,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
163,13,Hidalgo,Aquíles Serdán,Calle,sin número,sin número,Colonia,0001,Jacala,31,Jacala de Ledezma,42210,Urbana
164,13,Hidalgo,Aquíles Serdán,Calle,sin número,sin número,Colonia,0001,Jacala,31,Jacala de Ledezma,42210,Urbana
165,13,Hidalgo,Aquíles Serdán,Calle,sin número,sin número,Colonia,0001,Jacala,31,Jacala de Ledezma,42210,Urbana
166,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Pueblo,0001,San Nicolás,31,Jacala de Ledezma,42210,Urbana
167,13,Hidalgo,Revolución Matamoros y Pino Suárez,Calle,sin número,sin número,Colonia,0033,Jacala,31,Jacala de Ledezma,42200,Urbana
168,13,Hidalgo,Camino Real Orizatlán-Huejutla,Calle,sin número,sin número,Ranchería,0001,Jaltocán,32,Jaltocán,43045,Urbana
