ID_INMUEBLE,ID _ESTADO,ESTADO,OPERACION_ORIGEN,VALOR_CATASTRAL,TITULO_PROPIEDAD
106,13,Hidalgo,Expropiación,58409718.04,Decreto de Expropiación de la Secretaría de la Reforma Agraria de fecha 10 de diciembre de 2004.
107,13,Hidalgo,Compra no genera póliza solo se registra la alta,162991.37,"Escritura Pública número 2667, Volúmen 67 de fecha 21 de septiembre de 2000, Notaría Pública número 12 de Pachuca de Soto."
108,13,Hidalgo,Compra no genera póliza solo se registra la alta,44724.69,Contrato privado de Compra Venta de fecha 11 de mayo de 2000.
109,13,Hidalgo,Compra no genera póliza solo se registra la alta,11543.03,"1.- Escritura Pública No 2, Volúmen 2 de fecha 10 de noviembre de 1958, ante la fe del Lic. Vicente Jonguitud Moctesuma, Notaría Público número 9 de Ixmiquilpan.2.- Escritura Pública 3383, Volúmen 42 de fecha 27 julio 1991, ante el Lic. Raúl Durán Morteno, Notario 2 de Huejutla de Reyes."
110,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,9663,"Escritura Pública número 106641 de fecha 31 de agosto de 2018, ante la Notaría Pública número 4 de Tula de Allende, Hidalgo."
111,13,Hidalgo,Compra no genera póliza solo se registra la alta,3004992.9,"Escritura Pública número 59495 de fecha 9 de septiembre de 2015, ante el Lic. Jaime Isauro Galindo Moreno ante la Notaría Pública número 1 de Zimapan, Hidalgo."
112,13,Hidalgo,Compra no genera póliza solo se registra la alta,1938668.68,"Escritura Pública número 5111, Volumen 96 de fecha 13 de octubre del 2003. ante la Notaría Pública número  52 de Tenango de Doria, Hidalgo."
113,13,Hidalgo,Compra no genera póliza solo se registra la alta,2150176.92,"Escritura Pública número 5088, Volúmen 93 de fecha 24 de septiembre del 2003. ante la Notaría Pública número 1 de Tenango de Doria, Hidalgo."
114,13,Hidalgo,Compra no genera póliza solo se registra la alta,3345748.25,"Escritura Pública número 25107, Volúmen 1287 de fecha 27 de diciembre de 2005, ante la fe del Lic. Juan Linares Quinto Notarío Público número 7 de Pachuca de Soto, Hidalgo."
115,13,Hidalgo,Procedimiento de Ejecución Fiscal,13971.08,"Escritura Pública número 5098, Volúmen 114 de fecha 25 de marzo de 1993, ante la Notaría Pública número 9 de Pachuca de Soto, Hidalgo."
116,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,78163.41,Contrato número Cd y Tdp 2003 004 de fecha 16 de diciembre 2003. 2.- Decreto de expropiación de fecha 15 de agosto de 1994.
117,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,9311.86,"Escritura Pública número 19 de fecha 24 de mayo de 1947, ante la Notaría Pública número 4 de Actopan, Hidalgo."
118,13,Hidalgo,Compra no genera póliza solo se registra la alta,290199.86,"Escritura Pública número 4422, Volúmen XCVIII, Foja 66 de fecha 11 de mayo de 1998, ante la Notaría Pública número 3 de Actopan, Hidalgo"
119,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,423978.86,"Escritura Pública número 35312, Volúmen 398 de fecha 26 de marzo de 1975, ante la Notaría Pública número 2 de Pachuca, Hidalgo."
120,13,Hidalgo,Compra no genera póliza solo se registra la alta,860085.55,"Escritura Pública número 5038, volumen 93 de fecha 15 de agosto de 2003 ante la Notaría Pública número 1 de Atotonilco El Grande."
121,13,Hidalgo,Compra no genera póliza solo se registra la alta,2364861.52,Volumen número CCLIX-259 de fecha 19 de mayo de 2009.
122,13,Hidalgo,Compra no genera póliza solo se registra la alta,1511814.81,"Escritura Pública número 4958, Volumen 93 de fecha 27 de mayo de 2003, ante la Notaría Pública número 1, Tenango de Doria, Hidalgo."
123,13,Hidalgo,Adjudicación Judicial,5662182.43,"Escritura Pública número 8,019, Volúmen 113 de fecha 03 de agosto de 2000, ante el Lic. Arturo Durán Rocha, ante la Notaría Pública número 2 de Huejutla de Reyes, Hidalgo."
124,13,Hidalgo,Adjudicación Judicial,5596387.71,"Escritura Pública número 8,019, Volúmen 113 de fecha 12 de octubre del 2004, Notaría Pública número 2 de Huejutla, Hidalgo."
125,13,Hidalgo,Compra no genera póliza solo se registra la alta,13019253.25,Contrato de Compra Venta 
