ID_INMUEBLE,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,TITULO_PROPIEDAD
77,Oficialía Mayor,"Escritura Pública número 3748, volumen 78, Folio 15,506 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
78,Oficialía Mayor,"Escritura Pública número 3888, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
79,Oficialía Mayor,"Escritura Pública número 3889, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
80,Oficialía Mayor,"Escritura Pública número 3958, volumen 84 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
81,Oficialía Mayor,"Escritura Pública número 3887, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
82,Oficialía Mayor,"Escritura Pública número 3971, volumen 84 de fecha 22 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
83,Oficialía Mayor,"Escritura Pública número 3886, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
84,Oficialía Mayor,"Escritura Pública número 3959, volumen 84 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
85,Oficialía Mayor,"Escritura Pública número 3908, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
86,Oficialía Mayor,"Escritura Pública número 3890, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
87,Oficialía Mayor,"Escritura Pública número 3891, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
88,Oficialía Mayor,"Escritura Pública número 4147, volumen 88 de fecha 19 de diciembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
89,Oficialía Mayor,"Escritura Pública número 323, Volúmen 5to. de fecha 16 de octubre de 1968, Notaría Pública número 1 de Tula de Allende, Hidalgo."
90,Oficialía Mayor,"Escritura Pública número 3613, Volúmen 52 de fecha 16 de diciembre del 1987, ante la Notaría Pública número 1 de Mixquiahuala de Juárez, Hidalgo."
91,Oficialía Mayor,"Escritura Pública número 7645, Volúmen 88 de fecha 31 de mayo de 1988, ante la Notaría Pública número 1 de Tula de Allende, Hidalgo."
92,Oficialía Mayor,"Escritura Pública número 9706, Volúmen 276, 32 juego, Fojas número 231 de fecha 8 de diciembre de 1997, ante la Notaría Pública número 5 de Tepeji del Río, Hidalgo."
93,Oficialía Mayor,"Escritura Pública número 4209, Volúmen 65 de fecha 15 de octubre de 2002, ante la Notaría Pública número 3 de Tulancingo, Hidalgo."
94,Oficialía Mayor,"Escritura Pública número 19,991, Volúmen 401 de fecha 31 de marzo de 2010, ante la fe del Lic. delia Bibiana Tejeda Cruz Notario adscrito a la Notaría Pública número 2 de Atotonilco El Grande Hidalgo."
95,Oficialía Mayor,"Escritura Pública número 10524, Volúmen 294 34 de fecha 26 de febrero de 1999, ante la fe del Lic. José de Valle Alvarado del Patrimonio Inmueble Federal Titular de la Notaría Pública número 5 de Tepeji del Río, Hidalgo."
96,Oficialía Mayor,
97,Oficialía Mayor,"Escritura Pública número 21353, Libro 877, Folios 7359-7363  de Fecha 20 de Abril de 2012, ante la Notaría Pública número 6 de Pachuca de Soto, Hidalgo.2.- Escritura Pública número 21825, Libro 890, Folios 9820-9824 de fecha 08 de febrero de 2013, ante la  Notaría Pública número 6 de Pachuca de Soto, Hidalgo."
